,id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,achievement_count,athlete_count,start_date,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,elev_high,elev_low,pr_count
94,7234062709,Afternoon Ride,13.411836490999999,0.7608333333333334,0.7680555555555556,45.3,Ride,Ride,15,1,2022-05-31T19:31:13Z,7.88,12.538,{},False,{},{},1355.8,1313.8,8
95,7212155064,Lunch Ride,13.53654545,0.7613888888888889,0.7991666666666667,43.1,Ride,Ride,16,1,2022-05-27T17:00:42Z,7.948,16.1,{},False,{},{},1355.2,1313.8,13
96,7205793181,Home > River Oaks Golf Course,13.331555487,0.7944444444444444,0.8016666666666666,45.3,Ride,Ride,15,1,2022-05-26T12:46:22Z,7.502,19.2,{},True,148.8,174.0,1355.7,1313.8,11
97,7201887574,Lunch Ride,12.239932671,0.7422222222222222,0.7644444444444445,44.4,Ride,Ride,13,1,2022-05-25T17:57:57Z,7.372,14.122,{},True,137.1,158.0,1355.7,1314.7,9
98,7180274909,Sand Hollow Tri Bike,26.613587785,1.6813888888888888,1.718888888888889,471.0,Ride,Ride,12,2,2022-05-21T14:06:36Z,7.076,15.82,{},True,156.4,174.0,1031.8,916.2,6
99,7180290866,Sand Hollow Tri Swim,1.100881229,0.6547222222222222,0.6875,23.6,Swim,Swim,0,6,2022-05-21T13:20:34Z,0.752,2.693,{},False,{},{},934.0,910.4,0
100,7141561613,South Davis Tri,11.9427314,0.6538888888888889,0.7077777777777777,85.6,Ride,Ride,0,1,2022-05-14T14:31:56Z,8.165,13.881,{},True,161.9,180.0,1330.5,1286.1,0
101,7127585372,Night Swim,1.118466,0.4558333333333333,0.45555555555555555,0.0,Swim,Swim,0,1,2022-05-11T22:32:20Z,1.097,2.273,{},True,133.0,172.0,{},{},0
102,7128049007,Afternoon Ride,26.509570446999998,1.8833333333333333,2.0797222222222222,60.3,Ride,Ride,39,1,2022-05-11T23:20:34Z,6.292,12.297,{},True,133.0,170.0,1355.7,1298.7,30
103,7118911971,Afternoon Ride,0.0,0.41555555555555557,0.41555555555555557,0.0,Ride,Ride,0,1,2022-05-10T13:06:11Z,0.0,0.0,{},True,118.1,139.0,{},{},0
